,Gasoline,Leather,Cinnamon,Peppermint,Banana,Lemon,Licorice,Turpentine,Garlic,Coffee,Apple,Clove,Pineapple,Rose,Mushroom,Fish
Gasoline,1.0,0.27310810810810815,0.2154054054054054,0.27945945945945944,0.18391891891891893,0.22756756756756757,0.2677027027027027,0.5177027027027027,0.20797297297297299,0.16527027027027025,0.2612162162162162,0.27797297297297296,0.18837837837837837,0.23783783783783785,0.2733783783783784,0.17256756756756755
Leather,0.27310810810810815,1.0,0.395,0.28135135135135136,0.32662162162162167,0.3166216216216216,0.3666216216216216,0.475,0.21432432432432433,0.2794594594594595,0.3416216216216216,0.42472972972972967,0.36878378378378374,0.3875675675675676,0.31324324324324326,0.19256756756756754
Cinnamon,0.2154054054054054,0.395,1.0,0.427027027027027,0.37608108108108107,0.3539189189189189,0.4155405405405405,0.3563513513513513,0.15121621621621623,0.3077027027027027,0.455,0.4586486486486487,0.4371621621621622,0.36851351351351347,0.2187837837837838,0.1506756756756757
Peppermint,0.27945945945945944,0.28135135135135136,0.427027027027027,1.0,0.342972972972973,0.40216216216216216,0.43432432432432433,0.43216216216216213,0.15256756756756756,0.2354054054054054,0.3894594594594595,0.36770270270270267,0.3471621621621621,0.3841891891891892,0.19635135135135134,0.12202702702702703
Banana,0.18391891891891893,0.32662162162162167,0.37608108108108107,0.342972972972973,1.0,0.3691891891891892,0.35121621621621624,0.25635135135135134,0.14256756756756755,0.24864864864864863,0.5317567567567567,0.30243243243243245,0.4527027027027027,0.37364864864864866,0.24594594594594593,0.15635135135135134
Lemon,0.22756756756756757,0.3166216216216216,0.3539189189189189,0.40216216216216216,0.3691891891891892,1.0,0.375945945945946,0.3774324324324324,0.13635135135135135,0.21797297297297297,0.5083783783783784,0.33337837837837836,0.48121621621621624,0.4236486486486486,0.18648648648648647,0.08918918918918918
Licorice,0.2677027027027027,0.3666216216216216,0.4155405405405405,0.43432432432432433,0.35121621621621624,0.375945945945946,1.0,0.3485135135135135,0.1639189189189189,0.28500000000000003,0.36878378378378374,0.4014864864864865,0.37540540540540546,0.34135135135135136,0.2602702702702703,0.19554054054054054
Turpentine,0.5177027027027027,0.475,0.3563513513513513,0.43216216216216213,0.25635135135135134,0.3774324324324324,0.3485135135135135,1.0,0.2193243243243243,0.2424324324324324,0.3229729729729729,0.41743243243243244,0.30243243243243245,0.3481081081081081,0.30324324324324325,0.16499999999999998
Garlic,0.20797297297297299,0.21432432432432433,0.15121621621621623,0.15256756756756756,0.14256756756756755,0.13635135135135135,0.1639189189189189,0.2193243243243243,1.0,0.18621621621621623,0.1335135135135135,0.24432432432432433,0.1572972972972973,0.14513513513513512,0.32810810810810814,0.4022972972972973
Coffee,0.16527027027027025,0.2794594594594595,0.3077027027027027,0.2354054054054054,0.24864864864864863,0.21797297297297297,0.28500000000000003,0.2424324324324324,0.18621621621621623,1.0,0.22243243243243244,0.2956756756756757,0.25,0.21337837837837836,0.24,0.18513513513513513
Apple,0.2612162162162162,0.3416216216216216,0.455,0.3894594594594595,0.5317567567567567,0.5083783783783784,0.36878378378378374,0.3229729729729729,0.1335135135135135,0.22243243243243244,1.0,0.3862162162162162,0.6372972972972972,0.5212162162162162,0.25324324324324327,0.12202702702702703
Clove,0.27797297297297296,0.42472972972972967,0.4586486486486487,0.36770270270270267,0.30243243243243245,0.33337837837837836,0.4014864864864865,0.41743243243243244,0.24432432432432433,0.2956756756756757,0.3862162162162162,1.0,0.31945945945945947,0.3414864864864865,0.3018918918918919,0.21337837837837836
Pineapple,0.18837837837837837,0.36878378378378374,0.4371621621621622,0.3471621621621621,0.4527027027027027,0.48121621621621624,0.37540540540540546,0.30243243243243245,0.1572972972972973,0.25,0.6372972972972972,0.31945945945945947,1.0,0.4708108108108108,0.22405405405405404,0.1722972972972973
Rose,0.23783783783783785,0.3875675675675676,0.36851351351351347,0.3841891891891892,0.37364864864864866,0.4236486486486486,0.34135135135135136,0.3481081081081081,0.14513513513513512,0.21337837837837836,0.5212162162162162,0.3414864864864865,0.4708108108108108,1.0,0.2298648648648649,0.10986486486486485
Mushroom,0.2733783783783784,0.31324324324324326,0.2187837837837838,0.19635135135135134,0.24594594594594593,0.18648648648648647,0.2602702702702703,0.30324324324324325,0.32810810810810814,0.24,0.25324324324324327,0.3018918918918919,0.22405405405405404,0.2298648648648649,1.0,0.40567567567567564
Fish,0.17256756756756755,0.19256756756756754,0.1506756756756757,0.12202702702702703,0.15635135135135134,0.08918918918918918,0.19554054054054054,0.16499999999999998,0.4022972972972973,0.18513513513513513,0.12202702702702703,0.21337837837837836,0.1722972972972973,0.10986486486486485,0.40567567567567564,1.0
