,bensin,terpentin,skokräm,läder,tvål,parfym,kanel,krydda,vanilj,mint,banan,frukt,citron,apelsin,lakrits,anis,tallbarr,vitlök,lök,äcklig,kaffe,choklad,äpple,blomma,nejlika,tandläkare,ananas,karamell,ros,svamp,fisk,sill,skaldjur
bensin,0.000000,0.547331,0.804987,0.749875,1.019809,0.896760,0.935131,0.982771,0.889912,0.834930,0.930749,0.965797,0.881275,0.912776,0.790252,0.923784,0.782909,0.781439,0.840861,0.771368,0.824795,0.915480,0.971759,1.010736,1.002802,0.844571,0.942545,0.929482,0.979059,0.906855,0.795449,0.889318,0.851153
terpentin,0.547331,0.000000,0.507257,0.478544,0.858229,0.936398,0.638388,0.659110,0.728501,0.595058,0.796800,0.695650,0.632741,0.623428,0.476050,0.452021,0.447613,0.710978,0.698709,0.892976,0.735810,0.767216,0.744154,0.839346,0.649761,0.988302,0.665599,0.540830,0.737870,0.569296,0.806853,0.679039,0.615213
skokräm,0.804987,0.507257,-0.000000,0.489906,0.761182,0.868757,0.685282,0.646391,0.645154,0.570238,0.764493,0.642915,0.598031,0.641306,0.489195,0.352065,0.459553,0.851182,0.868387,1.012006,0.831152,0.724497,0.653483,0.789849,0.706596,1.078937,0.480223,0.496137,0.656259,0.686217,0.970795,0.850307,0.748159
läder,0.749875,0.478544,0.489906,-0.000000,0.898041,0.923541,0.688404,0.663127,0.682449,0.707337,0.881150,0.659407,0.792129,0.772035,0.471212,0.470558,0.467251,0.990589,0.993104,1.080310,0.756999,0.692756,0.793199,0.978731,0.745944,1.114838,0.754702,0.521417,0.839433,0.694627,1.067688,0.984747,0.886034
tvål,1.019809,0.858229,0.761182,0.898041,0.000000,0.635930,0.742418,0.844949,0.645931,0.712989,0.912595,0.847798,0.684211,0.698151,0.854699,0.843082,0.862671,1.010206,0.959339,1.017510,0.973763,0.719143,0.792354,0.884462,0.808213,1.036632,0.842626,0.798583,0.690242,0.880880,0.965986,1.000249,1.013042
parfym,0.896760,0.936398,0.868757,0.923541,0.635930,0.000000,0.827387,0.935853,0.697569,0.811798,0.872326,0.882901,0.878835,0.924540,0.954661,0.972689,1.018571,0.934545,1.013448,0.893145,0.985609,0.871992,0.903403,0.887415,0.946495,0.942016,0.968823,0.954382,0.807748,1.005970,0.993246,1.132168,1.200381
kanel,0.935131,0.638388,0.685282,0.688404,0.742418,0.827387,0.000000,0.605771,0.453911,0.593685,0.691685,0.797752,0.556384,0.405887,0.576049,0.469174,0.581622,0.750028,0.773602,1.059683,0.688167,0.586521,0.598100,0.809712,0.385901,1.110665,0.686374,0.589982,0.734894,0.759679,0.982010,0.760266,0.858566
krydda,0.982771,0.659110,0.646391,0.663127,0.844949,0.935853,0.605771,0.000000,0.814734,0.844125,0.719170,0.647725,0.681547,0.697503,0.581268,0.408058,0.649695,0.625916,0.626785,1.031023,0.737256,0.761878,0.773625,0.811480,0.603047,1.091278,0.678962,0.645930,0.832862,0.671479,0.797899,0.636778,0.574511
vanilj,0.889912,0.728501,0.645154,0.682449,0.645931,0.697569,0.453911,0.814734,-0.000000,0.486449,0.701884,0.700050,0.519761,0.518630,0.497111,0.562706,0.631583,0.850704,0.968835,1.068036,0.775889,0.433492,0.610547,0.853419,0.659613,1.122661,0.562768,0.493577,0.622186,0.928711,1.024373,0.998778,0.976989
mint,0.834930,0.595058,0.570238,0.707337,0.712989,0.811798,0.593685,0.844125,0.486449,0.000000,0.759776,0.747596,0.384725,0.467081,0.479387,0.487037,0.517321,0.773887,0.889914,0.944850,0.884857,0.588368,0.655079,0.921059,0.705546,1.087963,0.497174,0.604643,0.688849,0.787738,0.935240,0.997854,0.792841
